ts,tid,pid,cat,ph,bp,name,id
6928969392952.978,4097251,4097061,ac2g,f,e,ac2g,4419
6928969392956.522,4097251,4097061,ac2g,f,e,ac2g,4420
6928969392959.616,4097251,4097061,ac2g,f,e,ac2g,4421
6928969392962.882,4097251,4097061,ac2g,f,e,ac2g,4422
6928969392966.173,4097251,4097061,ac2g,f,e,ac2g,4423
6928969392969.421,4097251,4097061,ac2g,f,e,ac2g,4424
6928969392972.711,4097251,4097061,ac2g,f,e,ac2g,4425
6928969392975.955,4097251,4097061,ac2g,f,e,ac2g,4426
6928969392979.232,4097251,4097061,ac2g,f,e,ac2g,4427
6928969392982.668,4097251,4097061,ac2g,f,e,ac2g,4428
6928969392986.013,4097251,4097061,ac2g,f,e,ac2g,4429
6928969392989.492,4097251,4097061,ac2g,f,e,ac2g,4430
6928969393126.998,4097251,4097061,ac2g,f,e,ac2g,4431
6928969393132.045,4097251,4097061,ac2g,f,e,ac2g,4432
6928969393136.433,4097251,4097061,ac2g,f,e,ac2g,4433
6928969393140.58,4097251,4097061,ac2g,f,e,ac2g,4434
6928969393144.874,4097251,4097061,ac2g,f,e,ac2g,4435
6928969393149.934,4097251,4097061,ac2g,f,e,ac2g,4436
6928969393154.143,4097251,4097061,ac2g,f,e,ac2g,4437
6928969393159.601,4097251,4097061,ac2g,f,e,ac2g,4438
6928969393164.074,4097251,4097061,ac2g,f,e,ac2g,4439
6928969393168.517,4097251,4097061,ac2g,f,e,ac2g,4440
6928969393173.361,4097251,4097061,ac2g,f,e,ac2g,4441
6928969393177.559,4097251,4097061,ac2g,f,e,ac2g,4442
6928969393284.475,4097251,4097061,ac2g,f,e,ac2g,4443
6928969393633.035,4097251,4097061,ac2g,f,e,ac2g,4444
6928969393898.763,4097251,4097061,ac2g,f,e,ac2g,4445
6928969394201.585,4097251,4097061,ac2g,f,e,ac2g,4446
6928969394469.119,4097251,4097061,ac2g,f,e,ac2g,4447
6928969394868.59,4097251,4097061,ac2g,f,e,ac2g,4448
6928969395182.13,4097251,4097061,ac2g,f,e,ac2g,4449
6928969395464.022,4097251,4097061,ac2g,f,e,ac2g,4450
6928969395723.284,4097251,4097061,ac2g,f,e,ac2g,4451
6928969395975.1,4097251,4097061,ac2g,f,e,ac2g,4452
6928969396261.274,4097251,4097061,ac2g,f,e,ac2g,4453
6928969396494.464,4097251,4097061,ac2g,f,e,ac2g,4454
6928969396840.991,4097251,4097061,ac2g,f,e,ac2g,4455
6928969396846.17,4097251,4097061,ac2g,f,e,ac2g,4456
6928969396850.638,4097251,4097061,ac2g,f,e,ac2g,4457
6928969396854.994,4097251,4097061,ac2g,f,e,ac2g,4458
6928969396859.373,4097251,4097061,ac2g,f,e,ac2g,4459
6928969396865.891,4097251,4097061,ac2g,f,e,ac2g,4460
6928969396872.926,4097251,4097061,ac2g,f,e,ac2g,4461
6928969396880.327,4097251,4097061,ac2g,f,e,ac2g,4462
6928969396887.287,4097251,4097061,ac2g,f,e,ac2g,4463
6928969396893.155,4097251,4097061,ac2g,f,e,ac2g,4464
6928969396900.192,4097251,4097061,ac2g,f,e,ac2g,4465
6928969396906.288,4097251,4097061,ac2g,f,e,ac2g,4466
6928969397045.678,4097251,4097061,ac2g,f,e,ac2g,4467
6928969397052.11,4097251,4097061,ac2g,f,e,ac2g,4468
6928969397057.859,4097251,4097061,ac2g,f,e,ac2g,4469
6928969397063.395,4097251,4097061,ac2g,f,e,ac2g,4470
6928969397069.364,4097251,4097061,ac2g,f,e,ac2g,4471
6928969397074.732,4097251,4097061,ac2g,f,e,ac2g,4472
6928969397080.83,4097251,4097061,ac2g,f,e,ac2g,4473
6928969397086.702,4097251,4097061,ac2g,f,e,ac2g,4474
6928969397092.637,4097251,4097061,ac2g,f,e,ac2g,4475
6928969397098.853,4097251,4097061,ac2g,f,e,ac2g,4476
6928969397105.124,4097251,4097061,ac2g,f,e,ac2g,4477
6928969397111.767,4097251,4097061,ac2g,f,e,ac2g,4478
6928969397157.994,4097251,4097061,ac2g,f,e,ac2g,4479
6928969397163.329,4097251,4097061,ac2g,f,e,ac2g,4480
6928969397168.332,4097251,4097061,ac2g,f,e,ac2g,4481
6928969397173.28,4097251,4097061,ac2g,f,e,ac2g,4482
6928969397178.113,4097251,4097061,ac2g,f,e,ac2g,4483
6928969397182.897,4097251,4097061,ac2g,f,e,ac2g,4484
6928969397187.726,4097251,4097061,ac2g,f,e,ac2g,4485
6928969397192.511,4097251,4097061,ac2g,f,e,ac2g,4486
6928969397197.255,4097251,4097061,ac2g,f,e,ac2g,4487
6928969397202.054,4097251,4097061,ac2g,f,e,ac2g,4488
6928969397206.822,4097251,4097061,ac2g,f,e,ac2g,4489
6928969397211.55,4097251,4097061,ac2g,f,e,ac2g,4490
6928969397250.892,4097251,4097061,ac2g,f,e,ac2g,4491
6928969397256.024,4097251,4097061,ac2g,f,e,ac2g,4492
6928969397260.836,4097251,4097061,ac2g,f,e,ac2g,4493
6928969397265.619,4097251,4097061,ac2g,f,e,ac2g,4494
6928969397270.362,4097251,4097061,ac2g,f,e,ac2g,4495
6928969397275.146,4097251,4097061,ac2g,f,e,ac2g,4496
6928969397280.07,4097251,4097061,ac2g,f,e,ac2g,4497
6928969397284.898,4097251,4097061,ac2g,f,e,ac2g,4498
6928969397289.696,4097251,4097061,ac2g,f,e,ac2g,4499
6928969397294.48,4097251,4097061,ac2g,f,e,ac2g,4500
6928969397299.256,4097251,4097061,ac2g,f,e,ac2g,4501
6928969397304.025,4097251,4097061,ac2g,f,e,ac2g,4502
6928969397422.62,4097251,4097061,ac2g,f,e,ac2g,4503
6928969397427.757,4097251,4097061,ac2g,f,e,ac2g,4504
6928969397432.682,4097251,4097061,ac2g,f,e,ac2g,4505
6928969397437.66,4097251,4097061,ac2g,f,e,ac2g,4506
6928969397442.61,4097251,4097061,ac2g,f,e,ac2g,4507
6928969397447.585,4097251,4097061,ac2g,f,e,ac2g,4508
6928969397452.522,4097251,4097061,ac2g,f,e,ac2g,4509
6928969397457.395,4097251,4097061,ac2g,f,e,ac2g,4510
6928969397462.714,4097251,4097061,ac2g,f,e,ac2g,4511
6928969397467.57,4097251,4097061,ac2g,f,e,ac2g,4512
6928969397472.442,4097251,4097061,ac2g,f,e,ac2g,4513
6928969397477.328,4097251,4097061,ac2g,f,e,ac2g,4514
6928969397594.388,4097251,4097061,ac2g,f,e,ac2g,4516
6928969397601.778,4097251,4097061,ac2g,f,e,ac2g,4517
6928969397607.721,4097251,4097061,ac2g,f,e,ac2g,4518
6928969397613.756,4097251,4097061,ac2g,f,e,ac2g,4519
6928969397619.466,4097251,4097061,ac2g,f,e,ac2g,4520
6928969397625.544,4097251,4097061,ac2g,f,e,ac2g,4521
6928969397631.588,4097251,4097061,ac2g,f,e,ac2g,4522
6928969397637.563,4097251,4097061,ac2g,f,e,ac2g,4523
6928969397644.165,4097251,4097061,ac2g,f,e,ac2g,4524
6928969397649.655,4097251,4097061,ac2g,f,e,ac2g,4525
6928969397655.99,4097251,4097061,ac2g,f,e,ac2g,4526
6928969397662.338,4097251,4097061,ac2g,f,e,ac2g,4527
6928969398061.176,4097251,4097061,ac2g,f,e,ac2g,4528
6928969398103.143,4097251,4097061,ac2g,f,e,ac2g,4529
6928969398104.197,4097251,4097061,ac2g,f,e,ac2g,4530
6928969398270.443,7,0,ac2g,f,e,ac2g,4533
6928969398233.867,4097251,4097061,ac2g,s,,ac2g,4533
6928969398304.683,7,0,ac2g,f,e,ac2g,4535
6928969398277.258,4097251,4097061,ac2g,s,,ac2g,4535
6928969398296.74,4097251,4097061,ac2g,f,e,ac2g,4537
6928969398322.731,7,0,ac2g,f,e,ac2g,4538
6928969398300.258,4097251,4097061,ac2g,s,,ac2g,4538
6928969398326.283,4097251,4097061,ac2g,f,e,ac2g,4539
6928969402028.78,4097251,4097061,ac2g,f,e,ac2g,4540
6928969402055.909,7,0,ac2g,f,e,ac2g,4541
6928969402032.42,4097251,4097061,ac2g,s,,ac2g,4541
6928969402060.481,4097251,4097061,ac2g,f,e,ac2g,4543
6928969402100.197,7,0,ac2g,f,e,ac2g,4544
6928969402074.946,4097251,4097061,ac2g,s,,ac2g,4544
6928969402263.547,4097251,4097061,ac2g,f,e,ac2g,4557
6928969402268.896,4097251,4097061,ac2g,f,e,ac2g,4558
6928969402270.939,4097251,4097061,ac2g,f,e,ac2g,4559
6928969402272.967,4097251,4097061,ac2g,f,e,ac2g,4560
6928969402729.288,4097251,4097061,ac2g,f,e,ac2g,4562
6928969403135.382,4097251,4097061,ac2g,f,e,ac2g,4563
6928969403546.634,4097251,4097061,ac2g,f,e,ac2g,4564
6928969404005.561,4097251,4097061,ac2g,f,e,ac2g,4565
6928969404535.5,4097251,4097061,ac2g,f,e,ac2g,4566
6928969404970.612,4097251,4097061,ac2g,f,e,ac2g,4567
6928969405656.196,4097251,4097061,ac2g,f,e,ac2g,4568
6928969406119.503,4097251,4097061,ac2g,f,e,ac2g,4569
6928969406536.611,4097251,4097061,ac2g,f,e,ac2g,4570
6928969406973.047,4097251,4097061,ac2g,f,e,ac2g,4571
6928969407381.083,4097251,4097061,ac2g,f,e,ac2g,4572
6928969407792.481,4097251,4097061,ac2g,f,e,ac2g,4573
6928969408447.734,4097251,4097061,ac2g,f,e,ac2g,4574
6928969408847.056,4097251,4097061,ac2g,f,e,ac2g,4575
6928969409243.378,4097251,4097061,ac2g,f,e,ac2g,4576
6928969409653.933,4097251,4097061,ac2g,f,e,ac2g,4577
6928969409998.309,4097251,4097061,ac2g,f,e,ac2g,4578
6928969410416.987,4097251,4097061,ac2g,f,e,ac2g,4579
6928969410772.386,4097251,4097061,ac2g,f,e,ac2g,4580
6928969411127.326,4097251,4097061,ac2g,f,e,ac2g,4581
6928969411434.032,4097251,4097061,ac2g,f,e,ac2g,4582
6928969411743.363,4097251,4097061,ac2g,f,e,ac2g,4583
6928969412064.845,4097251,4097061,ac2g,f,e,ac2g,4584
6928969412390.497,4097251,4097061,ac2g,f,e,ac2g,4585
6928969412827.686,4097251,4097061,ac2g,f,e,ac2g,4586
6928969412832.872,4097251,4097061,ac2g,f,e,ac2g,4587
6928969412837.834,4097251,4097061,ac2g,f,e,ac2g,4588
6928969412842.724,4097251,4097061,ac2g,f,e,ac2g,4589
6928969412847.65,4097251,4097061,ac2g,f,e,ac2g,4590
6928969412852.557,4097251,4097061,ac2g,f,e,ac2g,4591
6928969412857.076,4097251,4097061,ac2g,f,e,ac2g,4592
6928969412861.813,4097251,4097061,ac2g,f,e,ac2g,4593
6928969412866.72,4097251,4097061,ac2g,f,e,ac2g,4594
6928969412871.218,4097251,4097061,ac2g,f,e,ac2g,4595
6928969412875.481,4097251,4097061,ac2g,f,e,ac2g,4596
6928969412879.284,4097251,4097061,ac2g,f,e,ac2g,4597
6928969412914.086,4097251,4097061,ac2g,f,e,ac2g,4598
6928969412917.602,4097251,4097061,ac2g,f,e,ac2g,4599
6928969412920.724,4097251,4097061,ac2g,f,e,ac2g,4600
6928969412923.909,4097251,4097061,ac2g,f,e,ac2g,4601
6928969412927.207,4097251,4097061,ac2g,f,e,ac2g,4602
6928969412930.656,4097251,4097061,ac2g,f,e,ac2g,4603
6928969412933.986,4097251,4097061,ac2g,f,e,ac2g,4604
6928969412937.286,4097251,4097061,ac2g,f,e,ac2g,4605
6928969412940.702,4097251,4097061,ac2g,f,e,ac2g,4606
6928969412944.279,4097251,4097061,ac2g,f,e,ac2g,4607
6928969412947.75,4097251,4097061,ac2g,f,e,ac2g,4608
6928969412951.092,4097251,4097061,ac2g,f,e,ac2g,4609
6928969412982.082,4097251,4097061,ac2g,f,e,ac2g,4610
6928969412985.766,4097251,4097061,ac2g,f,e,ac2g,4611
6928969412988.864,4097251,4097061,ac2g,f,e,ac2g,4612
6928969412992.02,4097251,4097061,ac2g,f,e,ac2g,4613
6928969412995.409,4097251,4097061,ac2g,f,e,ac2g,4614
6928969412998.904,4097251,4097061,ac2g,f,e,ac2g,4615
6928969413002.235,4097251,4097061,ac2g,f,e,ac2g,4616
6928969413005.354,4097251,4097061,ac2g,f,e,ac2g,4617
6928969413008.591,4097251,4097061,ac2g,f,e,ac2g,4618
6928969413011.994,4097251,4097061,ac2g,f,e,ac2g,4619
6928969413015.296,4097251,4097061,ac2g,f,e,ac2g,4620
6928969413018.493,4097251,4097061,ac2g,f,e,ac2g,4621
6928969413114.449,4097251,4097061,ac2g,f,e,ac2g,4622
6928969413119.451,4097251,4097061,ac2g,f,e,ac2g,4623
6928969413123.979,4097251,4097061,ac2g,f,e,ac2g,4624
6928969413128.691,4097251,4097061,ac2g,f,e,ac2g,4625
6928969413133.201,4097251,4097061,ac2g,f,e,ac2g,4626
6928969413137.531,4097251,4097061,ac2g,f,e,ac2g,4627
6928969413141.917,4097251,4097061,ac2g,f,e,ac2g,4628
6928969413145.755,4097251,4097061,ac2g,f,e,ac2g,4629
6928969413149.919,4097251,4097061,ac2g,f,e,ac2g,4630
6928969413154.29,4097251,4097061,ac2g,f,e,ac2g,4631
6928969413158.78,4097251,4097061,ac2g,f,e,ac2g,4632
6928969413163.83,4097251,4097061,ac2g,f,e,ac2g,4633
6928969413201.633,4097251,4097061,ac2g,f,e,ac2g,4634
6928969413205.206,4097251,4097061,ac2g,f,e,ac2g,4635
6928969413208.385,4097251,4097061,ac2g,f,e,ac2g,4636
6928969413211.591,4097251,4097061,ac2g,f,e,ac2g,4637
6928969413214.823,4097251,4097061,ac2g,f,e,ac2g,4638
6928969413218.23,4097251,4097061,ac2g,f,e,ac2g,4639
6928969413221.703,4097251,4097061,ac2g,f,e,ac2g,4640
6928969413224.813,4097251,4097061,ac2g,f,e,ac2g,4641
6928969413228.089,4097251,4097061,ac2g,f,e,ac2g,4642
6928969413231.205,4097251,4097061,ac2g,f,e,ac2g,4643
