Ev Idx,tid,cat,Record function id,Input type,name,pid,dur,External id,Concrete Inputs,Sequence number,Input Strides,Input Dims,ts,Fwd thread id,ph
43,4097251,cpu_op,0,"[""float"", ""ScalarList""]",aten::view,4097061,2.836,1068,"["""", ""[5, 512, 1, 1]""]",,"[[512, 1], []]","[[5, 512], []]",6928969345215.5,,X
44,4097251,cpu_op,0,,autograd::engine::evaluate_function: MeanBackward1,4097061,11513.046,1069,,206,,,6928969345231.168,1,X
45,4097251,cpu_op,0,"[""float""]",MeanBackward1,4097061,11486.993,1070,"[""""]",206,"[[512, 1, 1, 1]]","[[5, 512, 1, 1]]",6928969345233.902,1,X
46,4097251,cpu_op,0,"[""float"", ""ScalarList"", ""Scalar""]",aten::expand,4097061,12.528,1071,"["""", ""[5, 512, 7, 7]"", ""False""]",,"[[512, 1, 1, 1], [], []]","[[5, 512, 1, 1], [], []]",6928969345248.538,,X
47,4097251,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,4097061,1.577,1072,"["""", ""[5, 512, 7, 7]"", ""[512, 1, 0, 0]"", """"]",,"[[512, 1, 1, 1], [], [], []]","[[5, 512, 1, 1], [], [], []]",6928969345257.54,,X
48,4097251,cpu_op,0,"[""float"", ""Scalar""]",aten::div,4097061,11437.417,1073,"["""", ""49""]",,"[[512, 1, 0, 0], []]","[[5, 512, 7, 7], []]",6928969345279.316,,X
49,4097251,cpu_op,0,"[""float"", ""long int""]",aten::div,4097061,11390.689,1074,"["""", """"]",,"[[512, 1, 0, 0], []]","[[5, 512, 7, 7], []]",6928969345315.547,,X
50,4097251,cpu_op,0,,autograd::engine::evaluate_function: ReluBackward0,4097061,13485.223,1075,,205,,,6928969356788.566,1,X
51,4097251,cpu_op,0,"[""float""]",ReluBackward0,4097061,13452.364,1076,"[""""]",205,"[[25088, 49, 7, 1]]","[[5, 512, 7, 7]]",6928969356795.361,1,X
52,4097251,cpu_op,0,"[""float"", ""float"", ""Scalar""]",aten::threshold_backward,4097061,13404.996,1077,"["""", """", ""0""]",,"[[25088, 49, 7, 1], [25088, 49, 7, 1], []]","[[5, 512, 7, 7], [5, 512, 7, 7], []]",6928969356834.786,,X
53,4097251,cpu_op,0,,autograd::engine::evaluate_function: AddBackward0,4097061,16.887,1078,,204,,,6928969370312.036,1,X
54,4097251,cpu_op,0,"[""float""]",AddBackward0,4097061,3.751,1079,"[""""]",204,"[[25088, 49, 7, 1]]","[[5, 512, 7, 7]]",6928969370318.013,1,X
55,4097251,cpu_op,0,,autograd::engine::evaluate_function: CudnnBatchNormBackward0,4097061,15543.953,1080,,203,,,6928969370337.521,1,X
56,4097251,cpu_op,0,"[""float""]",CudnnBatchNormBackward0,4097061,15500.387,1081,"[""""]",203,"[[25088, 49, 7, 1]]","[[5, 512, 7, 7]]",6928969370340.911,1,X
57,4097251,cpu_op,0,"[""float"", ""float"", ""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""unsigned char""]",aten::cudnn_batch_norm_backward,4097061,15463.649,1082,"["""", """", """", """", """", """", """", ""1.0000000000000001e-05"", """"]",,"[[25088, 49, 7, 1], [25088, 49, 7, 1], [1], [1], [1], [1], [1], [], [1]]","[[5, 512, 7, 7], [5, 512, 7, 7], [512], [512], [512], [512], [512], [], [0]]",6928969370369.864,,X
58,4097251,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,4097061,15.929,1083,"[""[5, 512, 7, 7]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6928969370418.128,,X
59,4097251,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,4097061,7.123,1084,"[""[512]"", ""6"", ""0"", """", """", """"]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6928969370436.833,,X
60,4097251,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,4097061,5.81,1085,"[""[512]"", ""6"", ""0"", """", """", """"]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6928969370446.5,,X
61,4097251,cpu_op,0,"[""float"", ""ScalarList""]",aten::view,4097061,6.732,1086,"["""", ""[1, 512, 1, 1]""]",,"[[1], []]","[[512], []]",6928969374084.184,,X
62,4097251,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,4097061,17.653,1087,"[""[0]"", ""0"", ""0"", """", """", """"]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6928969374359.094,,X
63,4097251,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,4097061,38.74,1088,,,,,6928969385927.337,,X
64,4097251,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,4097061,28.021,1089,"[""""]",,[[1]],[[512]],6928969385934.924,,X
65,4097251,cpu_op,0,"[""float""]",aten::detach,4097061,14.699,1090,"[""""]",,[[1]],[[512]],6928969385947.138,,X
66,4097251,cpu_op,0,"[""float""]",detach,4097061,9.876,1091,"[""""]",,[[1]],[[512]],6928969385951.61,,X
67,4097251,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,4097061,12.348,1092,,,,,6928969385974.298,,X
68,4097251,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,4097061,5.87,1093,"[""""]",,[[1]],[[512]],6928969385978.615,,X
69,4097251,cpu_op,0,"[""float""]",aten::detach,4097061,3.27,1094,"[""""]",,[[1]],[[512]],6928969385980.768,,X
70,4097251,cpu_op,0,"[""float""]",detach,4097061,1.307,1095,"[""""]",,[[1]],[[512]],6928969385982.369,,X
71,4097251,cpu_op,0,,autograd::engine::evaluate_function: ConvolutionBackward0,4097061,28624.74,1096,,202,,,6928969385994.585,1,X
72,4097251,cpu_op,0,"[""float""]",ConvolutionBackward0,4097061,28585.677,1097,"[""""]",202,"[[25088, 49, 7, 1]]","[[5, 512, 7, 7]]",6928969385997.901,1,X
73,4097251,cpu_op,0,"[""float"", ""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar"", ""ScalarList""]",aten::convolution_backward,4097061,28545.027,1098,"["""", """", """", ""[0]"", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1"", ""[True, True, False]""]",,"[[25088, 49, 7, 1], [25088, 49, 7, 1], [4608, 9, 3, 1], [], [], [], [], [], [], [], []]","[[5, 512, 7, 7], [5, 512, 7, 7], [512, 512, 3, 3], [], [], [], [], [], [], [], []]",6928969386029.384,,X
74,4097251,cpu_op,0,"[""float"", """", """", """", """", ""Scalar"", ""Scalar"", ""Scalar""]",aten::to,4097061,6.566,1099,"["""", """", """", """", """", ""False"", ""False"", ""0""]",,"[[25088, 49, 7, 1], [], [], [], [], [], [], []]","[[5, 512, 7, 7], [], [], [], [], [], [], []]",6928969386080.066,,X
75,4097251,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,4097061,20.411,1100,"[""[512, 512, 3, 3]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6928969402230.15,,X
76,4097251,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,4097061,39.394,1101,,,,,6928969414665.782,,X
77,4097251,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,4097061,28.114,1102,"[""""]",,"[[4608, 9, 3, 1]]","[[512, 512, 3, 3]]",6928969414673.63,,X
78,4097251,cpu_op,0,"[""float""]",aten::detach,4097061,15.767,1103,"[""""]",,"[[4608, 9, 3, 1]]","[[512, 512, 3, 3]]",6928969414684.924,,X
