tid,cat,id,name,pid,bp,ts,ph
122891,ac2g,51975,ac2g,122891,,6939565307404.0,s
7,ac2g,51985,ac2g,0,e,6939565307464.137,f
122891,ac2g,51985,ac2g,122891,,6939565307451.886,s
7,ac2g,52014,ac2g,0,e,6939565307578.057,f
122891,ac2g,52014,ac2g,122891,,6939565307565.729,s
7,ac2g,52043,ac2g,0,e,6939565307710.281,f
122891,ac2g,52043,ac2g,122891,,6939565307698.547,s
122891,ac2g,52062,ac2g,122891,e,6939565308009.951,f
7,ac2g,52063,ac2g,0,e,6939565308029.992,f
122891,ac2g,52063,ac2g,122891,,6939565308015.342,s
7,ac2g,52065,ac2g,0,e,6939565308045.832,f
122891,ac2g,52065,ac2g,122891,,6939565308031.428,s
7,ac2g,52079,ac2g,0,e,6939565308212.008,f
122891,ac2g,52079,ac2g,122891,,6939565308196.726,s
122891,ac2g,52108,ac2g,122891,e,6939565308455.731,f
122891,ac2g,52113,ac2g,122891,e,6939565308462.485,f
122891,ac2g,52117,ac2g,122891,e,6939565308465.918,f
7,ac2g,52132,ac2g,0,e,6939565308538.407,f
122891,ac2g,52132,ac2g,122891,,6939565308514.097,s
122891,ac2g,52155,ac2g,122891,e,6939565308657.305,f
7,ac2g,52156,ac2g,0,e,6939565308674.311,f
122891,ac2g,52156,ac2g,122891,,6939565308661.057,s
7,ac2g,52158,ac2g,0,e,6939565308686.984,f
122891,ac2g,52158,ac2g,122891,,6939565308675.369,s
122891,ac2g,52183,ac2g,122891,e,6939565308811.964,f
122891,ac2g,52187,ac2g,122891,e,6939565308816.358,f
7,ac2g,52189,ac2g,0,e,6939565308838.343,f
122891,ac2g,52189,ac2g,122891,,6939565308825.428,s
7,ac2g,52199,ac2g,0,e,6939565308891.591,f
122891,ac2g,52199,ac2g,122891,,6939565308880.472,s
7,ac2g,52228,ac2g,0,e,6939565309047.911,f
122891,ac2g,52228,ac2g,122891,,6939565309034.748,s
122891,ac2g,52247,ac2g,122891,e,6939565309394.393,f
7,ac2g,52248,ac2g,0,e,6939565309416.39,f
122891,ac2g,52248,ac2g,122891,,6939565309399.582,s
7,ac2g,52250,ac2g,0,e,6939565309429.702,f
122891,ac2g,52250,ac2g,122891,,6939565309417.991,s
122891,ac2g,52269,ac2g,122891,e,6939565309515.25,f
7,ac2g,52270,ac2g,0,e,6939565309529.19,f
122891,ac2g,52270,ac2g,122891,,6939565309518.318,s
7,ac2g,52272,ac2g,0,e,6939565309541.446,f
122891,ac2g,52272,ac2g,122891,,6939565309530.514,s
7,ac2g,52286,ac2g,0,e,6939565309758.758,f
122891,ac2g,52286,ac2g,122891,,6939565309739.313,s
122891,ac2g,52312,ac2g,122891,e,6939565310005.106,f
122891,ac2g,52317,ac2g,122891,e,6939565310012.105,f
122891,ac2g,52321,ac2g,122891,e,6939565310015.686,f
7,ac2g,52336,ac2g,0,e,6939565310076.037,f
122891,ac2g,52336,ac2g,122891,,6939565310062.092,s
122891,ac2g,52359,ac2g,122891,e,6939565310202.38,f
7,ac2g,52360,ac2g,0,e,6939565310218.437,f
122891,ac2g,52360,ac2g,122891,,6939565310205.98,s
