Ev Idx,tid,cat,Record function id,Input type,name,pid,dur,External id,Concrete Inputs,Sequence number,Input Strides,Input Dims,ts,Fwd thread id,ph
42,125589,cpu_op,0,"[""float""]",aten::detach,122891,4.922,16939,"[""""]",,"[[512, 1]]","[[10000, 512]]",6939565490260.237,,X
43,125589,cpu_op,0,"[""float""]",detach,122891,2.252,16940,"[""""]",,"[[512, 1]]","[[10000, 512]]",6939565490262.378,,X
44,125589,cpu_op,0,,autograd::engine::evaluate_function: ViewBackward0,122891,17.517,16941,,5213,,,6939565490278.418,1,X
45,125589,cpu_op,0,"[""float""]",ViewBackward0,122891,9.232,16942,"[""""]",5213,"[[512, 1]]","[[50, 512]]",6939565490281.844,1,X
46,125589,cpu_op,0,"[""float"", ""ScalarList""]",aten::reshape,122891,5.318,16943,"["""", ""[1, 50, 512]""]",,"[[512, 1], []]","[[50, 512], []]",6939565490285.221,,X
47,125589,cpu_op,0,"[""float"", ""ScalarList""]",aten::view,122891,2.119,16944,"["""", ""[1, 50, 512]""]",,"[[512, 1], []]","[[50, 512], []]",6939565490287.81,,X
48,125589,cpu_op,0,,autograd::engine::evaluate_function: TransposeBackward0,122891,19.923,16945,,5212,,,6939565490305.689,1,X
49,125589,cpu_op,0,"[""float""]",TransposeBackward0,122891,11.483,16946,"[""""]",5212,"[[25600, 512, 1]]","[[1, 50, 512]]",6939565490309.326,1,X
50,125589,cpu_op,0,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,122891,8.399,16947,"["""", ""0"", ""1""]",,"[[25600, 512, 1], [], []]","[[1, 50, 512], [], []]",6939565490311.778,,X
51,125589,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,122891,1.295,16948,"["""", ""[50, 1, 512]"", ""[512, 25600, 1]"", """"]",,"[[25600, 512, 1], [], [], []]","[[1, 50, 512], [], [], []]",6939565490317.008,,X
52,125589,cpu_op,0,,autograd::engine::evaluate_function: NativeLayerNormBackward0,122891,172.286,16949,,5211,,,6939565490336.0,1,X
53,125589,cpu_op,0,"[""float""]",NativeLayerNormBackward0,122891,151.94,16950,"[""""]",5211,"[[512, 25600, 1]]","[[50, 1, 512]]",6939565490339.921,1,X
54,125589,cpu_op,0,"[""float"", ""float"", ""ScalarList"", ""float"", ""float"", ""float"", ""float"", ""ScalarList""]",aten::native_layer_norm_backward,122891,106.05,16951,"["""", """", ""[512]"", """", """", """", """", ""[True, True, True]""]",,"[[512, 25600, 1], [512, 512, 1], [], [1, 1, 1], [1, 1, 1], [1], [1], []]","[[50, 1, 512], [50, 1, 512], [], [50, 1, 1], [50, 1, 1], [512], [512], []]",6939565490383.936,,X
55,125589,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,122891,11.166,16952,"[""[50, 1, 512]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6939565490397.093,,X
56,125589,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,122891,8.38,16953,"[""[512]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6939565490412.143,,X
57,125589,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,122891,8.648,16954,"[""[512]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6939565490423.551,,X
58,125589,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,122891,17.529,16955,,,,,6939565490521.264,,X
59,125589,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,122891,10.26,16956,"[""""]",,[[1]],[[512]],6939565490525.7,,X
60,125589,cpu_op,0,"[""float""]",aten::detach,122891,6.35,16957,"[""""]",,[[1]],[[512]],6939565490528.908,,X
61,125589,cpu_op,0,"[""float""]",detach,122891,3.251,16958,"[""""]",,[[1]],[[512]],6939565490531.49,,X
62,125589,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,122891,13.975,16959,,,,,6939565490548.538,,X
63,125589,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,122891,7.342,16960,"[""""]",,[[1]],[[512]],6939565490552.523,,X
64,125589,cpu_op,0,"[""float""]",aten::detach,122891,4.566,16961,"[""""]",,[[1]],[[512]],6939565490554.683,,X
65,125589,cpu_op,0,"[""float""]",detach,122891,2.14,16962,"[""""]",,[[1]],[[512]],6939565490556.635,,X
66,125589,cpu_op,0,,autograd::engine::evaluate_function: NativeLayerNormBackward0,122891,93.058,16963,,5210,,,6939565490571.673,1,X
67,125589,cpu_op,0,"[""float""]",NativeLayerNormBackward0,122891,76.953,16964,"[""""]",5210,"[[512, 512, 1]]","[[50, 1, 512]]",6939565490575.268,1,X
68,125589,cpu_op,0,"[""float"", ""float"", ""ScalarList"", ""float"", ""float"", ""float"", ""float"", ""ScalarList""]",aten::native_layer_norm_backward,122891,69.173,16965,"["""", """", ""[512]"", """", """", """", """", ""[True, True, True]""]",,"[[512, 512, 1], [512, 512, 1], [], [1, 1, 1], [1, 1, 1], [1], [1], []]","[[50, 1, 512], [50, 1, 512], [], [50, 1, 1], [50, 1, 1], [512], [512], []]",6939565490581.994,,X
69,125589,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,122891,8.426,16966,"[""[50, 1, 512]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6939565490587.182,,X
70,125589,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,122891,9.079,16967,"[""[512]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6939565490598.671,,X
71,125589,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,122891,9.245,16968,"[""[512]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6939565490610.866,,X
