Ev Idx,tid,cat,Record function id,Input type,name,pid,dur,External id,Concrete Inputs,Sequence number,Input Strides,Input Dims,ts,Fwd thread id,ph
237,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.612,1262,"["""", """", """"]",,"[[1, 1], [1], []]","[[200, 1], [200], []]",6935384619282.758,,X
238,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.171,1263,"["""", ""[200]"", """"]",,"[[1, 1], [], []]","[[200, 1], [], []]",6935384619283.913,,X
239,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.599,1264,"["""", """", """"]",,"[[1, 1], [1], []]","[[200, 1], [200], []]",6935384619285.841,,X
240,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.165,1265,"["""", ""[200]"", """"]",,"[[1, 1], [], []]","[[200, 1], [], []]",6935384619286.993,,X
241,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.608,1266,"["""", """", """"]",,"[[1, 1], [50, 1], []]","[[10000, 1], [200, 50], []]",6935384619288.636,,X
242,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.215,1267,"["""", ""[200, 50]"", """"]",,"[[1, 1], [], []]","[[10000, 1], [], []]",6935384619289.749,,X
243,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.598,1268,"["""", """", """"]",,"[[1, 1], [50, 1], []]","[[10000, 1], [200, 50], []]",6935384619291.436,,X
244,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.212,1269,"["""", ""[200, 50]"", """"]",,"[[1, 1], [], []]","[[10000, 1], [], []]",6935384619292.541,,X
245,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.615,1270,"["""", """", """"]",,"[[1, 1], [1], []]","[[200, 1], [200], []]",6935384619294.259,,X
246,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.171,1271,"["""", ""[200]"", """"]",,"[[1, 1], [], []]","[[200, 1], [], []]",6935384619295.423,,X
247,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.595,1272,"["""", """", """"]",,"[[1, 1], [1], []]","[[200, 1], [200], []]",6935384619297.017,,X
248,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.166,1273,"["""", ""[200]"", """"]",,"[[1, 1], [], []]","[[200, 1], [], []]",6935384619298.164,,X
249,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.605,1274,"["""", """", """"]",,"[[1, 1], [50, 1], []]","[[10000, 1], [200, 50], []]",6935384619299.763,,X
250,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.215,1275,"["""", ""[200, 50]"", """"]",,"[[1, 1], [], []]","[[10000, 1], [], []]",6935384619300.874,,X
251,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.591,1276,"["""", """", """"]",,"[[1, 1], [50, 1], []]","[[10000, 1], [200, 50], []]",6935384619302.487,,X
252,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.213,1277,"["""", ""[200, 50]"", """"]",,"[[1, 1], [], []]","[[10000, 1], [], []]",6935384619303.583,,X
253,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.692,1278,"["""", """", """"]",,"[[1, 1], [1], []]","[[200, 1], [200], []]",6935384619305.57,,X
254,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.181,1279,"["""", ""[200]"", """"]",,"[[1, 1], [], []]","[[200, 1], [], []]",6935384619306.8,,X
255,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.577,1280,"["""", """", """"]",,"[[1, 1], [1], []]","[[200, 1], [200], []]",6935384619308.508,,X
256,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.161,1281,"["""", ""[200]"", """"]",,"[[1, 1], [], []]","[[200, 1], [], []]",6935384619309.642,,X
257,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.814,1282,"["""", """", """"]",,"[[1, 1], [50, 1], []]","[[10000, 1], [200, 50], []]",6935384619312.789,,X
258,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.214,1283,"["""", ""[200, 50]"", """"]",,"[[1, 1], [], []]","[[10000, 1], [], []]",6935384619314.108,,X
259,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.638,1284,"["""", """", """"]",,"[[1, 1], [50, 1], []]","[[10000, 1], [200, 50], []]",6935384619315.751,,X
260,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.212,1285,"["""", ""[200, 50]"", """"]",,"[[1, 1], [], []]","[[10000, 1], [], []]",6935384619316.896,,X
