ts,tid,pid,cat,ph,bp,name,id
6935384553771.433,36890,30902,ac2g,f,e,ac2g,1038
6935384553772.883,36890,30902,ac2g,s,,ac2g,1041
6935384576356.472,30,0,ac2g,f,e,ac2g,1042
6935384553773.251,36890,30902,ac2g,s,,ac2g,1042
6935384576968.183,30,0,ac2g,f,e,ac2g,1043
6935384553779.285,36890,30902,ac2g,s,,ac2g,1043
6935384576974.808,30,0,ac2g,f,e,ac2g,1045
6935384553786.025,36890,30902,ac2g,s,,ac2g,1045
6935384553799.392,36890,30902,ac2g,f,e,ac2g,1053
6935384553800.83,36890,30902,ac2g,s,,ac2g,1056
6935384579787.191,30,0,ac2g,f,e,ac2g,1057
6935384553801.197,36890,30902,ac2g,s,,ac2g,1057
6935384580397.623,30,0,ac2g,f,e,ac2g,1058
6935384553807.029,36890,30902,ac2g,s,,ac2g,1058
6935384580403.862,30,0,ac2g,f,e,ac2g,1060
6935384553813.394,36890,30902,ac2g,s,,ac2g,1060
6935384553825.16,36890,30902,ac2g,f,e,ac2g,1068
6935384553826.53,36890,30902,ac2g,s,,ac2g,1071
6935384585438.901,30,0,ac2g,f,e,ac2g,1072
6935384553826.901,36890,30902,ac2g,s,,ac2g,1072
6935384586050.644,30,0,ac2g,f,e,ac2g,1073
6935384553833.929,36890,30902,ac2g,s,,ac2g,1073
6935384586056.757,30,0,ac2g,f,e,ac2g,1075
6935384553839.773,36890,30902,ac2g,s,,ac2g,1075
6935384553852.125,36890,30902,ac2g,f,e,ac2g,1083
6935384553853.94,36890,30902,ac2g,s,,ac2g,1086
6935384591080.723,30,0,ac2g,f,e,ac2g,1087
6935384553854.454,36890,30902,ac2g,s,,ac2g,1087
6935384591692.307,30,0,ac2g,f,e,ac2g,1088
6935384553860.167,36890,30902,ac2g,s,,ac2g,1088
6935384591697.267,30,0,ac2g,f,e,ac2g,1090
6935384553866.768,36890,30902,ac2g,s,,ac2g,1090
6935384553878.825,36890,30902,ac2g,f,e,ac2g,1098
6935384553880.237,36890,30902,ac2g,s,,ac2g,1101
6935384596685.745,30,0,ac2g,f,e,ac2g,1102
6935384553880.607,36890,30902,ac2g,s,,ac2g,1102
6935384597296.721,30,0,ac2g,f,e,ac2g,1103
6935384553886.377,36890,30902,ac2g,s,,ac2g,1103
6935384597302.417,30,0,ac2g,f,e,ac2g,1105
6935384553892.61,36890,30902,ac2g,s,,ac2g,1105
6935384553905.064,36890,30902,ac2g,f,e,ac2g,1113
6935384553906.487,36890,30902,ac2g,s,,ac2g,1116
6935384602336.784,30,0,ac2g,f,e,ac2g,1117
6935384553906.852,36890,30902,ac2g,s,,ac2g,1117
6935384606174.03,30,0,ac2g,f,e,ac2g,1118
6935384553913.162,36890,30902,ac2g,s,,ac2g,1118
6935384606179.887,30,0,ac2g,f,e,ac2g,1120
6935384553919.396,36890,30902,ac2g,s,,ac2g,1120
6935384553941.108,36890,30902,ac2g,f,e,ac2g,1125
6935384607854.606,30,0,ac2g,f,e,ac2g,1126
6935384553956.745,36890,30902,ac2g,s,,ac2g,1126
6935384553967.388,36890,30902,ac2g,f,e,ac2g,1128
6935384553971.653,36890,30902,ac2g,f,e,ac2g,1129
6935384553973.199,36890,30902,ac2g,f,e,ac2g,1130
6935384553974.575,36890,30902,ac2g,f,e,ac2g,1131
6935384553976.142,36890,30902,ac2g,f,e,ac2g,1132
6935384553977.321,36890,30902,ac2g,s,,ac2g,1133
6935384553979.536,36890,30902,ac2g,f,e,ac2g,1134
6935384553980.499,36890,30902,ac2g,s,,ac2g,1135
6935384553981.813,36890,30902,ac2g,f,e,ac2g,1136
6935384553982.719,36890,30902,ac2g,s,,ac2g,1137
6935384553984.184,36890,30902,ac2g,f,e,ac2g,1138
6935384553985.143,36890,30902,ac2g,s,,ac2g,1139
6935384554101.082,36890,30902,ac2g,f,e,ac2g,1143
6935384554103.28,36890,30902,ac2g,f,e,ac2g,1144
6935384554104.262,36890,30902,ac2g,f,e,ac2g,1145
6935384554105.062,36890,30902,ac2g,f,e,ac2g,1146
6935384612044.237,7,0,ac2g,f,e,ac2g,1156
6935384554173.951,36890,30902,ac2g,s,,ac2g,1156
6935384612090.445,7,0,ac2g,f,e,ac2g,1171
6935384554226.067,36890,30902,ac2g,s,,ac2g,1171
6935384555386.443,36890,30902,ac2g,f,e,ac2g,1220
6935384555390.066,36890,30902,ac2g,s,,ac2g,1221
6935384555392.663,36890,30902,ac2g,s,,ac2g,1222
6935384555393.755,36890,30902,ac2g,s,,ac2g,1223
6935384555394.723,36890,30902,ac2g,s,,ac2g,1224
6935384555395.724,36890,30902,ac2g,f,e,ac2g,1225
6935384555397.012,36890,30902,ac2g,s,,ac2g,1226
6935384555398.026,36890,30902,ac2g,s,,ac2g,1227
6935384555398.956,36890,30902,ac2g,s,,ac2g,1228
6935384555400.278,36890,30902,ac2g,s,,ac2g,1229
6935384555401.239,36890,30902,ac2g,f,e,ac2g,1230
6935384555402.32,36890,30902,ac2g,s,,ac2g,1231
6935384555403.672,36890,30902,ac2g,s,,ac2g,1232
6935384555404.899,36890,30902,ac2g,s,,ac2g,1233
6935384555406.092,36890,30902,ac2g,s,,ac2g,1234
6935384618425.739,38,0,ac2g,f,e,ac2g,1235
6935384555409.768,36890,30902,ac2g,s,,ac2g,1235
6935384615339.412,36890,30902,ac2g,f,e,ac2g,1237
6935384618424.331,39,0,ac2g,f,e,ac2g,1238
6935384615344.977,36890,30902,ac2g,s,,ac2g,1238
6935384615356.884,36890,30902,ac2g,f,e,ac2g,1240
6935384618428.043,40,0,ac2g,f,e,ac2g,1241
6935384615358.368,36890,30902,ac2g,s,,ac2g,1241
6935384615368.985,36890,30902,ac2g,f,e,ac2g,1243
6935384618429.931,41,0,ac2g,f,e,ac2g,1244
6935384615370.189,36890,30902,ac2g,s,,ac2g,1244
6935384615380.526,36890,30902,ac2g,f,e,ac2g,1246
6935384625003.593,38,0,ac2g,f,e,ac2g,1247
6935384615381.562,36890,30902,ac2g,s,,ac2g,1247
6935384615388.703,36890,30902,ac2g,f,e,ac2g,1249
6935384625002.537,39,0,ac2g,f,e,ac2g,1250
6935384615389.731,36890,30902,ac2g,s,,ac2g,1250
6935384615395.875,36890,30902,ac2g,f,e,ac2g,1252
6935384625000.745,40,0,ac2g,f,e,ac2g,1253
6935384615397.251,36890,30902,ac2g,s,,ac2g,1253
6935384615403.513,36890,30902,ac2g,f,e,ac2g,1255
6935384625004.265,41,0,ac2g,f,e,ac2g,1256
6935384615404.538,36890,30902,ac2g,s,,ac2g,1256
6935384615410.797,36890,30902,ac2g,f,e,ac2g,1258
6935384634786.854,38,0,ac2g,f,e,ac2g,1259
6935384615411.798,36890,30902,ac2g,s,,ac2g,1259
6935384615418.257,36890,30902,ac2g,f,e,ac2g,1261
6935384634788.998,39,0,ac2g,f,e,ac2g,1262
6935384615419.26,36890,30902,ac2g,s,,ac2g,1262
6935384615425.814,36890,30902,ac2g,f,e,ac2g,1264
6935384615601.951,36890,30902,ac2g,f,e,ac2g,1273
6935384615615.452,36890,30902,ac2g,s,,ac2g,1276
6935384641339.172,34,0,ac2g,f,e,ac2g,1277
6935384615616.753,36890,30902,ac2g,s,,ac2g,1277
6935384615758.218,36890,30902,ac2g,f,e,ac2g,1286
6935384615762.483,36890,30902,ac2g,s,,ac2g,1290
6935384641372.58,34,0,ac2g,f,e,ac2g,1291
6935384615763.157,36890,30902,ac2g,s,,ac2g,1291
6935384615772.372,36890,30902,ac2g,f,e,ac2g,1292
6935384615809.004,36890,30902,ac2g,f,e,ac2g,1300
6935384615810.782,36890,30902,ac2g,s,,ac2g,1303
6935384641367.236,30,0,ac2g,f,e,ac2g,1304
6935384615811.197,36890,30902,ac2g,s,,ac2g,1304
6935384615819.722,36890,30902,ac2g,f,e,ac2g,1305
6935384615828.387,36890,30902,ac2g,f,e,ac2g,1313
6935384615830.259,36890,30902,ac2g,s,,ac2g,1316
6935384641375.524,35,0,ac2g,f,e,ac2g,1317
6935384615830.98,36890,30902,ac2g,s,,ac2g,1317
6935384615850.166,36890,30902,ac2g,f,e,ac2g,1325
6935384615851.639,36890,30902,ac2g,s,,ac2g,1328
6935384641392.196,35,0,ac2g,f,e,ac2g,1329
6935384615852.072,36890,30902,ac2g,s,,ac2g,1329
6935384615859.253,36890,30902,ac2g,f,e,ac2g,1330
6935384615886.828,36890,30902,ac2g,f,e,ac2g,1338
6935384615888.475,36890,30902,ac2g,s,,ac2g,1341
6935384641368.996,31,0,ac2g,f,e,ac2g,1342
6935384615888.897,36890,30902,ac2g,s,,ac2g,1342
6935384615897.583,36890,30902,ac2g,f,e,ac2g,1343
6935384615905.151,36890,30902,ac2g,f,e,ac2g,1351
6935384615906.636,36890,30902,ac2g,s,,ac2g,1354
6935384641373.956,36,0,ac2g,f,e,ac2g,1355
6935384615907.087,36890,30902,ac2g,s,,ac2g,1355
6935384615924.833,36890,30902,ac2g,f,e,ac2g,1363
6935384615926.221,36890,30902,ac2g,s,,ac2g,1366
6935384641391.876,36,0,ac2g,f,e,ac2g,1367
6935384615926.611,36890,30902,ac2g,s,,ac2g,1367
6935384615933.937,36890,30902,ac2g,f,e,ac2g,1368
6935384615941.497,36890,30902,ac2g,f,e,ac2g,1376
6935384615943.02,36890,30902,ac2g,s,,ac2g,1379
6935384641365.668,32,0,ac2g,f,e,ac2g,1380
6935384615943.415,36890,30902,ac2g,s,,ac2g,1380
6935384615952.3,36890,30902,ac2g,f,e,ac2g,1381
6935384615959.709,36890,30902,ac2g,f,e,ac2g,1389
6935384615961.467,36890,30902,ac2g,s,,ac2g,1392
6935384641370.372,37,0,ac2g,f,e,ac2g,1393
6935384615961.854,36890,30902,ac2g,s,,ac2g,1393
6935384615979.292,36890,30902,ac2g,f,e,ac2g,1401
6935384615980.726,36890,30902,ac2g,s,,ac2g,1404
