ts,tid,pid,cat,ph,bp,name,id
6928969544674.156,4097251,4097061,ac2g,f,e,ac2g,12405
6928969544675.053,4097251,4097061,ac2g,f,e,ac2g,12406
6928969544695.541,7,0,ac2g,f,e,ac2g,12410
6928969544686.465,4097251,4097061,ac2g,s,,ac2g,12410
6928969544705.205,7,0,ac2g,f,e,ac2g,12412
6928969544696.729,4097251,4097061,ac2g,s,,ac2g,12412
6928969544707.15,4097251,4097061,ac2g,f,e,ac2g,12414
6928969544717.365,7,0,ac2g,f,e,ac2g,12415
6928969544709.145,4097251,4097061,ac2g,s,,ac2g,12415
6928969544717.328,4097251,4097061,ac2g,f,e,ac2g,12417
6928969544755.956,7,0,ac2g,f,e,ac2g,12418
6928969544719.236,4097251,4097061,ac2g,s,,ac2g,12418
6928969544827.188,7,0,ac2g,f,e,ac2g,12438
6928969544815.188,4097251,4097061,ac2g,s,,ac2g,12438
6928969544902.722,4097251,4097061,ac2g,f,e,ac2g,12470
6928969544905.454,4097251,4097061,ac2g,f,e,ac2g,12471
6928969544906.576,4097251,4097061,ac2g,f,e,ac2g,12472
6928969544907.609,4097251,4097061,ac2g,f,e,ac2g,12473
6928969544932.99,4097251,4097061,ac2g,f,e,ac2g,12481
6928969544946.804,7,0,ac2g,f,e,ac2g,12482
6928969544936.221,4097251,4097061,ac2g,s,,ac2g,12482
6928969545060.643,4097251,4097061,ac2g,f,e,ac2g,12506
6928969545063.234,4097251,4097061,ac2g,f,e,ac2g,12507
6928969545064.342,4097251,4097061,ac2g,f,e,ac2g,12508
6928969545065.287,4097251,4097061,ac2g,f,e,ac2g,12509
6928969545093.62,7,0,ac2g,f,e,ac2g,12513
6928969545082.312,4097251,4097061,ac2g,s,,ac2g,12513
6928969545112.34,7,0,ac2g,f,e,ac2g,12515
6928969545095.758,4097251,4097061,ac2g,s,,ac2g,12515
6928969545107.162,4097251,4097061,ac2g,f,e,ac2g,12517
6928969545109.277,4097251,4097061,ac2g,f,e,ac2g,12518
6928969545119.476,7,0,ac2g,f,e,ac2g,12519
6928969545110.76,4097251,4097061,ac2g,s,,ac2g,12519
6928969545119.704,4097251,4097061,ac2g,f,e,ac2g,12522
6928969545149.236,7,0,ac2g,f,e,ac2g,12523
6928969545121.927,4097251,4097061,ac2g,s,,ac2g,12523
