ts,tid,pid,Ev Idx,dur,cat,ph,Input type,name,Input Strides,Fwd thread id,Concrete Inputs,Input Dims,Record function id,Sequence number,External id
6936340866786.15,60237,60051,343,5.721,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[256]"", ""6"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,1368
6936340866794.33,60237,60051,344,6.431,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[256]"", ""6"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,1369
6936340866816.879,60237,60051,345,1.877,cpu_op,X,"[""float"", ""ScalarList""]",aten::view,"[[1], []]",,"["""", ""[1, 256, 1, 1]""]","[[256], []]",0,,1370
6936340866823.009,60237,60051,346,4.792,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[0]"", ""0"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,1371
6936340866874.109,60237,60051,347,13.082,cpu_op,X,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,,,0,,1372
6936340866877.982,60237,60051,348,7.022,cpu_op,X,"[""float""]",torch::autograd::AccumulateGrad,[[1]],,"[""""]",[[256]],0,,1373
6936340866880.514,60237,60051,349,3.988,cpu_op,X,"[""float""]",aten::detach,[[1]],,"[""""]",[[256]],0,,1374
6936340866881.978,60237,60051,350,2.157,cpu_op,X,"[""float""]",detach,[[1]],,"[""""]",[[256]],0,,1375
6936340866894.452,60237,60051,351,9.815,cpu_op,X,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,,,0,,1376
6936340866897.661,60237,60051,352,4.519,cpu_op,X,"[""float""]",torch::autograd::AccumulateGrad,[[1]],,"[""""]",[[256]],0,,1377
6936340866899.151,60237,60051,353,2.646,cpu_op,X,"[""float""]",aten::detach,[[1]],,"[""""]",[[256]],0,,1378
6936340866900.303,60237,60051,354,1.21,cpu_op,X,"[""float""]",detach,[[1]],,"[""""]",[[256]],0,,1379
6936340866911.154,60237,60051,355,2545.78,cpu_op,X,,autograd::engine::evaluate_function: ConvolutionBackward0,,1,,,0,158,1380
6936340866913.886,60237,60051,356,2525.806,cpu_op,X,"[""float""]",ConvolutionBackward0,"[[802816, 3136, 56, 1]]",1,"[""""]","[[1, 256, 56, 56]]",0,158,1381
6936340866920.237,60237,60051,357,2517.565,cpu_op,X,"[""float"", ""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar"", ""ScalarList""]",aten::convolution_backward,"[[802816, 3136, 56, 1], [802816, 3136, 56, 1], [2304, 9, 3, 1], [], [], [], [], [], [], [], []]",,"["""", """", """", ""[256]"", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1"", ""[True, True, True]""]","[[1, 256, 56, 56], [1, 256, 56, 56], [256, 256, 3, 3], [], [], [], [], [], [], [], []]",0,,1382
6936340866928.889,60237,60051,358,1.132,cpu_op,X,"[""float"", """", """", """", """", ""Scalar"", ""Scalar"", ""Scalar""]",aten::to,"[[802816, 3136, 56, 1], [], [], [], [], [], [], []]",,"["""", """", """", """", """", ""False"", ""False"", ""0""]","[[1, 256, 56, 56], [], [], [], [], [], [], []]",0,,1383
6936340868253.343,60237,60051,359,10.677,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,"[[], [], [], [], [], []]",,"[""[256, 256, 3, 3]"", ""6"", ""0"", """", """", ""0""]","[[], [], [], [], [], []]",0,,1384
6936340869388.958,60237,60051,360,45.227,cpu_op,X,"[""float"", ""ScalarList"", ""Scalar"", """"]",aten::sum,"[[802816, 3136, 56, 1], [], [], []]",,"["""", ""[0, 2, 3]"", ""False"", """"]","[[1, 256, 56, 56], [], [], []]",0,,1385
6936340869404.314,60237,60051,361,2.413,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,"[[1], [], [], []]",,"["""", ""[1, 256, 1, 1]"", ""[0, 1, 0, 0]"", """"]","[[256], [], [], []]",0,,1386
6936340869477.26,60237,60051,362,17.418,cpu_op,X,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,,,0,,1387
6936340869481.888,60237,60051,363,10.45,cpu_op,X,"[""float""]",torch::autograd::AccumulateGrad,"[[2304, 9, 3, 1]]",,"[""""]","[[256, 256, 3, 3]]",0,,1388
6936340869485.983,60237,60051,364,5.74,cpu_op,X,"[""float""]",aten::detach,"[[2304, 9, 3, 1]]",,"[""""]","[[256, 256, 3, 3]]",0,,1389
6936340869487.655,60237,60051,365,3.658,cpu_op,X,"[""float""]",detach,"[[2304, 9, 3, 1]]",,"[""""]","[[256, 256, 3, 3]]",0,,1390
6936340869502.248,60237,60051,366,9.928,cpu_op,X,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,,,0,,1391
6936340869505.754,60237,60051,367,4.401,cpu_op,X,"[""float""]",torch::autograd::AccumulateGrad,[[1]],,"[""""]",[[256]],0,,1392
6936340869507.244,60237,60051,368,2.517,cpu_op,X,"[""float""]",aten::detach,[[1]],,"[""""]",[[256]],0,,1393
6936340869508.291,60237,60051,369,1.176,cpu_op,X,"[""float""]",detach,[[1]],,"[""""]",[[256]],0,,1394
6936340869519.079,60237,60051,370,66.641,cpu_op,X,,autograd::engine::evaluate_function: HardtanhBackward0,,1,,,0,156,1395
6936340869521.737,60237,60051,371,54.261,cpu_op,X,"[""float""]",HardtanhBackward0,"[[802816, 3136, 56, 1]]",1,"[""""]","[[1, 256, 56, 56]]",0,156,1396
6936340869524.671,60237,60051,372,50.494,cpu_op,X,"[""float"", ""float"", ""Scalar"", ""Scalar""]",aten::hardtanh_backward,"[[802816, 3136, 56, 1], [802816, 3136, 56, 1], [], []]",,"["""", """", ""0."", ""6.""]","[[1, 256, 56, 56], [1, 256, 56, 56], [], []]",0,,1397
6936340869531.843,60237,60051,373,8.411,cpu_op,X,"[""ScalarList"", ""Scalar"", """", """", """", ""Scalar""]",aten::empty,"[[], [], [], [], [], []]",,"[""[1, 256, 56, 56]"", ""6"", """", """", """", ""0""]","[[], [], [], [], [], []]",0,,1398
6936340869595.596,60237,60051,374,104.803,cpu_op,X,,autograd::engine::evaluate_function: CudnnBatchNormBackward0,,1,,,0,155,1399
6936340869598.761,60237,60051,375,88.232,cpu_op,X,"[""float""]",CudnnBatchNormBackward0,"[[802816, 3136, 56, 1]]",1,"[""""]","[[1, 256, 56, 56]]",0,155,1400
6936340869604.507,60237,60051,376,81.248,cpu_op,X,"[""float"", ""float"", ""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""unsigned char""]",aten::cudnn_batch_norm_backward,"[[802816, 3136, 56, 1], [802816, 3136, 56, 1], [1], [1], [1], [1], [1], [], [1]]",,"["""", """", """", """", """", """", """", ""1.0000000000000001e-05"", """"]","[[1, 256, 56, 56], [1, 256, 56, 56], [256], [256], [256], [256], [256], [], [0]]",0,,1401
6936340869614.56,60237,60051,377,7.338,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,"[[], [], [], [], [], []]",,"[""[1, 256, 56, 56]"", ""6"", ""0"", """", """", ""0""]","[[], [], [], [], [], []]",0,,1402
6936340869624.078,60237,60051,378,5.901,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[256]"", ""6"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,1403
6936340869632.53,60237,60051,379,5.392,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[256]"", ""6"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,1404
6936340869653.91,60237,60051,380,1.854,cpu_op,X,"[""float"", ""ScalarList""]",aten::view,"[[1], []]",,"["""", ""[1, 256, 1, 1]""]","[[256], []]",0,,1405
6936340869660.042,60237,60051,381,4.909,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[0]"", ""0"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,1406
6936340869711.598,60237,60051,382,13.012,cpu_op,X,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,,,0,,1407
6936340869715.694,60237,60051,383,6.758,cpu_op,X,"[""float""]",torch::autograd::AccumulateGrad,[[1]],,"[""""]",[[256]],0,,1408
6936340869717.968,60237,60051,384,3.933,cpu_op,X,"[""float""]",aten::detach,[[1]],,"[""""]",[[256]],0,,1409
6936340869719.305,60237,60051,385,2.261,cpu_op,X,"[""float""]",detach,[[1]],,"[""""]",[[256]],0,,1410
6936340869731.882,60237,60051,386,10.134,cpu_op,X,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,,,0,,1411
6936340869735.219,60237,60051,387,4.807,cpu_op,X,"[""float""]",torch::autograd::AccumulateGrad,[[1]],,"[""""]",[[256]],0,,1412
6936340869736.811,60237,60051,388,2.813,cpu_op,X,"[""float""]",aten::detach,[[1]],,"[""""]",[[256]],0,,1413
6936340869738.128,60237,60051,389,1.226,cpu_op,X,"[""float""]",detach,[[1]],,"[""""]",[[256]],0,,1414
6936340869748.958,60237,60051,390,210.855,cpu_op,X,,autograd::engine::evaluate_function: ConvolutionBackward0,,1,,,0,154,1415
6936340869751.734,60237,60051,391,195.689,cpu_op,X,"[""float""]",ConvolutionBackward0,"[[802816, 3136, 56, 1]]",1,"[""""]","[[1, 256, 56, 56]]",0,154,1416
6936340869757.663,60237,60051,392,188.674,cpu_op,X,"[""float"", ""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar"", ""ScalarList""]",aten::convolution_backward,"[[802816, 3136, 56, 1], [802816, 3136, 56, 1], [2304, 9, 3, 1], [], [], [], [], [], [], [], []]",,"["""", """", """", ""[256]"", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1"", ""[True, True, True]""]","[[1, 256, 56, 56], [1, 256, 56, 56], [256, 256, 3, 3], [], [], [], [], [], [], [], []]",0,,1417
6936340869766.416,60237,60051,393,1.154,cpu_op,X,"[""float"", """", """", """", """", ""Scalar"", ""Scalar"", ""Scalar""]",aten::to,"[[802816, 3136, 56, 1], [], [], [], [], [], [], []]",,"["""", """", """", """", """", ""False"", ""False"", ""0""]","[[1, 256, 56, 56], [], [], [], [], [], [], []]",0,,1418
6936340869842.864,60237,60051,394,7.297,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,"[[], [], [], [], [], []]",,"[""[256, 256, 3, 3]"", ""6"", ""0"", """", """", ""0""]","[[], [], [], [], [], []]",0,,1419
6936340869909.628,60237,60051,395,34.053,cpu_op,X,"[""float"", ""ScalarList"", ""Scalar"", """"]",aten::sum,"[[802816, 3136, 56, 1], [], [], []]",,"["""", ""[0, 2, 3]"", ""False"", """"]","[[1, 256, 56, 56], [], [], []]",0,,1420
6936340869919.348,60237,60051,396,1.905,cpu_op,X,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,"[[1], [], [], []]",,"["""", ""[1, 256, 1, 1]"", ""[0, 1, 0, 0]"", """"]","[[256], [], [], []]",0,,1421
6936340869973.818,60237,60051,397,13.895,cpu_op,X,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,,,0,,1422
6936340869978.077,60237,60051,398,7.301,cpu_op,X,"[""float""]",torch::autograd::AccumulateGrad,"[[2304, 9, 3, 1]]",,"[""""]","[[256, 256, 3, 3]]",0,,1423
6936340869980.874,60237,60051,399,3.967,cpu_op,X,"[""float""]",aten::detach,"[[2304, 9, 3, 1]]",,"[""""]","[[256, 256, 3, 3]]",0,,1424
6936340869982.142,60237,60051,400,2.353,cpu_op,X,"[""float""]",detach,"[[2304, 9, 3, 1]]",,"[""""]","[[256, 256, 3, 3]]",0,,1425
